2	TCONS_00001058	chr1	+	100656278	100706144	100656278	100656278	2	100656278,100704284,	100656804,100706144,
3	TCONS_00001762	chr1	-	192935682	192947364	192935682	192935682	3	192935682,192937300,192947312,	192935903,192937450,192947364,
3	TCONS_00000707	chr1	-	192937299	192948257	192937299	192937299	2	192937299,192948102,	192937420,192948257,
16	TCONS_00000081	chr1	-	60659630	60825584	60659630	60659630	6	60659630,60662984,60729574,60732446,60733463,60825335,	60661470,60663025,60729667,60732508,60733522,60825584,
16	TCONS_l2_00001278	chr1	-	64993511	65044523	64993511	64993511	3	64993511,64994986,65044479,	64993581,64995088,65044523,
20	TCONS_00000564	chr1	-	93305110	93339374	93305110	93305110	4	93305110,93324634,93325768,93339356,	93305470,93324729,93325895,93339374,
20	TCONS_00000565	chr1	-	93309752	93338534	93309752	93309752	6	93309752,93324634,93325768,93337376,93338229,93338373,	93309790,93324729,93325895,93337512,93338268,93338534,
20	TCONS_00000020	chr1	-	93310108	93345811	93310108	93310108	9	93310108,93324634,93325768,93326601,93337376,93339356,93339648,93340457,93345723,	93311608,93324729,93325895,93326662,93339274,93339536,93339679,93340510,93345811,
20	TCONS_00000566	chr1	-	93311279	93337437	93311279	93311279	4	93311279,93325148,93325818,93337376,	93311608,93325173,93325895,93337437,
20	TCONS_00001585	chr1	-	93311406	93338665	93311406	93311406	6	93311406,93324634,93325768,93337376,93338229,93338373,	93311608,93324729,93325895,93337512,93338268,93338665,
20	TCONS_00000567	chr1	-	93311484	93337565	93311484	93311484	4	93311484,93324634,93325768,93337376,	93311608,93324729,93325895,93337565,
22	TCONS_00001092	chr1	+	110082229	110110239	110082229	110082229	4	110082229,110108844,110109298,110109604,	110082852,110109028,110109417,110110239,
29	TCONS_00001191	chr1	+	168804053	168869327	168804053	168804053	2	168804053,168868976,	168804112,168869327,
31	TCONS_00002543	chr1	-	185558369	185628516	185558369	185558369	5	185558369,185563167,185565473,185626491,185628406,	185558675,185563328,185565696,185626555,185628516,
31	TCONS_00000109	chr1	-	185558381	185628488	185558381	185558381	4	185558381,185563167,185626491,185628406,	185558675,185563328,185626555,185628488,
31	TCONS_00001758	chr1	-	185563031	185628516	185563031	185563031	3	185563031,185626491,185628406,	185563328,185626555,185628516,
31	TCONS_00002202	chr1	+	185563167	185620980	185563167	185563167	2	185563167,185620956,	185563360,185620980,
31	TCONS_00001759	chr1	-	185565634	185628516	185565634	185565634	3	185565634,185626491,185628406,	185565696,185626555,185628516,
31	TCONS_00000355	chr1	+	189775464	189814918	189775464	189775464	4	189775464,189777259,189791578,189814831,	189775565,189777337,189791763,189814918,
31	TCONS_00000705	chr1	-	191858762	191890229	191858762	191858762	2	191858762,191890064,	191859180,191890229,
31	TCONS_00000360	chr1	+	191875494	192011260	191875494	191875494	5	191875494,191964393,191965321,191975970,192009760,	191875700,191964489,191965413,191976111,192011260,
32	TCONS_00001767	chr1	-	196044926	196160489	196044926	196044926	2	196044926,196160369,	196045539,196160489,
34	TCONS_00002585	chr1	-	213822356	213915962	213822356	213822356	4	213822356,213894662,213895393,213915934,	213822433,213894743,213895518,213915962,
35	TCONS_l2_00002770	chr1	-	219080976	219173751	219080976	219080976	5	219080976,219086494,219149938,219156119,219173469,	219081943,219086660,219150031,219156199,219173751,
35	TCONS_l2_00001780	chr1	-	219086511	219173760	219086511	219086511	4	219086511,219149938,219156119,219173469,	219086660,219150031,219156199,219173760,
35	TCONS_l2_00001781	chr1	-	219095287	219173728	219095287	219095287	4	219095287,219149938,219156119,219173469,	219095330,219150031,219156199,219173728,
35	TCONS_l2_00001782	chr1	-	219149937	219173680	219149937	219149937	3	219149937,219156119,219173469,	219150031,219156199,219173680,
35	TCONS_l2_00001783	chr1	-	219149938	219173737	219149938	219149938	3	219149938,219156119,219173469,	219150033,219156199,219173737,
35	TCONS_l2_00002779	chr1	-	222089168	222387434	222089168	222089168	4	222089168,222218378,222385640,222387319,	222089565,222218489,222385692,222387434,
38	TCONS_00001364	chr1	+	248512454	248513044	248512454	248512454	2	248512454,248512884,	248512720,248513044,
73	TCONS_l2_00002368	chr1	-	89294	268126	89294	89294	2	89294,266863,	90404,268126,
73	TCONS_l2_00000958	chr1	-	112759	168167	112759	112759	3	112759,165883,167963,	112804,165942,168167,
73	TCONS_l2_00002372	chr1	-	129080	133566	129080	129080	2	129080,133373,	129223,133566,
73	TCONS_l2_00002378	chr1	-	257863	264733	257863	257863	2	257863,264603,	259025,264733,
73	TCONS_l2_00002379	chr1	-	258143	268807	258143	258143	3	258143,267302,268666,	259025,268204,268807,
73	TCONS_l2_00000960	chr1	-	260456	289432	260456	260456	5	260456,261549,267302,268666,289265,	260498,261634,268204,268816,289432,
73	TCONS_l2_00000966	chr1	-	772999	808589	772999	772999	4	772999,774170,805798,808584,	773107,774280,805891,808589,
73	TCONS_l2_00000004	chr1	+	778762	805248	778762	778762	3	778762,803921,804775,	779092,804222,805248,
73	TCONS_l2_00001939	chr1	+	779055	804875	779055	779055	3	779055,803918,804775,	779092,804222,804875,
73	TCONS_00000445	chr1	-	916869	919692	916869	916869	4	916869,918021,918824,919334,	917720,918110,918915,919692,
73	TCONS_00000446	chr1	-	917369	918534	917369	917369	2	917369,918021,	917486,918534,
73	TCONS_00002277	chr1	-	917438	918335	917438	917438	2	917438,918021,	917720,918335,
77	TCONS_00000827	chr1	+	4571528	4593647	4571528	4571528	3	4571528,4572469,4593051,	4571629,4572592,4593647,
78	TCONS_00000077	chr1	-	5561708	5668255	5561708	5561708	3	5561708,5563169,5668140,	5562254,5563355,5668255,
78	TCONS_00000464	chr1	-	5587367	5668295	5587367	5587367	2	5587367,5668140,	5587575,5668295,
86	TCONS_00001392	chr1	-	14282653	14304441	14282653	14282653	2	14282653,14304384,	14282884,14304441,
86	TCONS_00001393	chr1	-	14390708	14419962	14390708	14390708	3	14390708,14391458,14419493,	14390744,14391578,14419962,
86	TCONS_00001394	chr1	-	14391048	14419962	14391048	14391048	2	14391048,14419493,	14391578,14419962,
88	TCONS_l2_00000110	chr1	+	16644398	16650380	16644398	16644398	12	16644398,16646596,16646979,16647197,16647462,16647783,16648298,16648755,16649378,16649606,16649809,16650073,	16646515,16646709,16647116,16647314,16647581,16648198,16648664,16649251,16649525,16649713,16649949,16650380,
88	TCONS_l2_00000114	chr1	+	16644759	16650796	16644759	16644759	18	16644759,16646368,16646596,16646786,16646979,16647197,16647462,16647783,16648067,16648298,16648755,16648880,16649173,16649378,16649606,16649809,16650073,16650757,	16645678,16646515,16646709,16646901,16647116,16647314,16647581,16647952,16648198,16648664,16648792,16649001,16649251,16649525,16649713,16649949,16650276,16650796,
88	TCONS_l2_00000111	chr1	+	16644759	16648243	16644759	16644759	9	16644759,16646368,16646596,16646786,16646979,16647197,16647462,16647783,16648067,	16645207,16646515,16646709,16646901,16647112,16647314,16647581,16647952,16648243,
88	TCONS_l2_00000115	chr1	+	16645420	16647101	16645420	16645420	3	16645420,16646368,16646596,	16645678,16646515,16647101,
88	TCONS_l2_00001987	chr1	+	16645573	16650419	16645573	16645573	14	16645573,16646368,16646596,16646979,16647197,16647462,16647783,16648755,16648880,16649173,16649378,16649606,16649809,16650073,	16645678,16646515,16646709,16647116,16647314,16647581,16648664,16648792,16649041,16649251,16649525,16649713,16649949,16650419,
88	TCONS_l2_00001985	chr1	+	16645573	16648092	16645573	16645573	5	16645573,16646368,16646596,16646979,16647197,	16645678,16646515,16646709,16647116,16648092,
88	TCONS_l2_00001986	chr1	+	16645573	16648092	16645573	16645573	5	16645573,16646368,16646596,16646786,16647197,	16645678,16646515,16646709,16647112,16648092,
88	TCONS_l2_00000117	chr1	+	16645592	16650031	16645592	16645592	14	16645592,16646368,16646596,16646786,16647197,16647462,16647783,16648298,16648528,16648755,16649173,16649378,16649606,16649809,	16645678,16646515,16646709,16647112,16647314,16647581,16647957,16648401,16648664,16649001,16649251,16649525,16649713,16650031,
88	TCONS_l2_00000116	chr1	+	16645592	16647141	16645592	16645592	4	16645592,16646368,16646596,16646979,	16645678,16646515,16646709,16647141,
88	TCONS_l2_00000118	chr1	+	16645617	16649695	16645617	16645617	11	16645617,16646368,16646596,16646979,16647197,16647462,16647783,16648298,16648528,16648755,16649606,	16645678,16646515,16646901,16647112,16647318,16647581,16648198,16648401,16648664,16649525,16649695,
